Model parameters used
country,#general beds,#critical beds,%vaccine efficacy (against infection & mild illness),%vaccine efficacy (against hospitalisation & death),vaccine durability (days),introduction date,%vaccine courses available (% of population),#fully vaccinated/week,prioritisation & allocation,Vaccine uptake (% of group targeted),phase start #1,phase end #1,Rt #1,phase start #2,phase end #2,Rt #2
"Iran",169169,4879,90.000,96.000,1095,2021-05-27,20.000,2100000.000,"HCW and Elderly",80.000,2021-05-27,2021-11-27,1.527,2021-11-28,2023-01-01,2.400

Model output
date,Rt,Reff,reported deaths,infections,infections counterfactual,deaths,deaths conterfactual,infections averted,deaths averted,hospitalisations,critical care,fully vaccinated persons (cumulative)
2020-01-09,4.492,4.492,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2020-01-10,4.492,4.492,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2020-01-11,4.492,4.492,,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2020-01-12,4.492,4.492,,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2020-01-13,4.492,4.492,,2.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2020-01-14,4.492,4.491,,3.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2020-01-15,4.492,4.491,,3.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2020-01-16,4.492,4.491,,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2020-01-17,4.492,4.491,,6.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2020-01-18,4.492,4.491,,8.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2020-01-19,4.492,4.491,,11.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2020-01-20,4.492,4.491,,14.000,14.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2020-01-21,4.492,4.491,,19.000,19.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2020-01-22,4.492,4.491,,26.000,26.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2020-01-23,4.492,4.491,,34.000,34.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2020-01-24,4.492,4.491,,46.000,46.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2020-01-25,4.492,4.491,,61.000,61.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
2020-01-26,4.492,4.491,,81.000,81.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
2020-01-27,4.492,4.491,,108.000,108.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
2020-01-28,4.572,4.572,,145.000,145.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
2020-01-29,4.572,4.572,,193.000,193.000,0.000,0.000,0.000,0.000,2.000,1.000,0.000
2020-01-30,4.572,4.572,,258.000,258.000,0.000,0.000,0.000,0.000,3.000,1.000,0.000
2020-01-31,2.441,2.441,,346.000,346.000,0.000,0.000,0.000,0.000,4.000,1.000,0.000
2020-02-01,2.441,,,456.000,456.000,0.000,0.000,0.000,0.000,5.000,1.000,0.000
2020-02-02,2.441,,,570.000,570.000,0.000,0.000,0.000,0.000,6.000,2.000,0.000
2020-02-03,2.441,,,685.000,685.000,0.000,0.000,0.000,0.000,8.000,3.000,0.000
2020-02-04,2.441,,,806.000,806.000,0.000,0.000,0.000,0.000,11.000,3.000,0.000
2020-02-05,2.441,,,942.000,942.000,0.000,0.000,0.000,0.000,14.000,4.000,0.000
2020-02-06,2.441,,,1099.000,1099.000,0.000,0.000,0.000,0.000,17.000,5.000,0.000
2020-02-07,2.441,,,1281.000,1281.000,0.000,0.000,0.000,0.000,21.000,7.000,0.000
2020-02-08,2.441,,,1494.000,1494.000,0.000,0.000,0.000,0.000,25.000,8.000,0.000
