date,uptake_date,uptake_no,IHME_uptake_no,IHME_uptake_date,IMPE_uptake_no,IMPE_uptake_date,LANL_uptake_no,LANL_uptake_date,SRIV_uptake_no,SRIV_uptake_date,sdate
25-Jun-20,25-Jun-20,1,30,25-Jun-20,,,18,23-Jun-20,55,25-Jun-20,20200625
29-Jun-20,29-Jun-20,2,31,29-Jun-20,,,19,28-Jun-20,59,29-Jun-20,20200629
2-Jul-20,2-Jul-20,3,31,29-Jun-20,53,2-Jul-20,20,1-Jul-20,62,2-Jul-20,20200702
3-Jul-20,3-Jul-20,4,31,29-Jun-20,54,3-Jul-20,20,1-Jul-20,63,3-Jul-20,20200703
4-Jul-20,4-Jul-20,5,31,29-Jun-20,55,4-Jul-20,20,1-Jul-20,64,4-Jul-20,20200704
7-Jul-20,7-Jul-20,6,32,7-Jul-20,56,7-Jul-20,21,5-Jul-20,67,7-Jul-20,20200707
11-Jul-20,11-Jul-20,7,32,7-Jul-20,57,11-Jul-20,22,8-Jul-20,71,11-Jul-20,20200711
14-Jul-20,14-Jul-20,8,33,14-Jul-20,58,14-Jul-20,23,12-Jul-20,74,14-Jul-20,20200714
15-Jul-20,15-Jul-20,9,33,14-Jul-20,59,15-Jul-20,24,15-Jul-20,75,15-Jul-20,20200715
18-Jul-20,18-Jul-20,10,33,14-Jul-20,60,18-Jul-20,24,15-Jul-20,78,18-Jul-20,20200718
20-Jul-20,20-Jul-20,11,33,14-Jul-20,61,20-Jul-20,25,19-Jul-20,80,20-Jul-20,20200720
22-Jul-20,22-Jul-20,12,34,22-Jul-20,62,22-Jul-20,26,22-Jul-20,82,22-Jul-20,20200722
25-Jul-20,25-Jul-20,13,34,22-Jul-20,63,25-Jul-20,26,22-Jul-20,85,25-Jul-20,20200725
27-Jul-20,27-Jul-20,14,34,22-Jul-20,64,27-Jul-20,27,26-Jul-20,87,27-Jul-20,20200727
30-Jul-20,30-Jul-20,15,35,30-Jul-20,64,27-Jul-20,28,29-Jul-20,90,30-Jul-20,20200730
31-Jul-20,31-Jul-20,16,35,30-Jul-20,65,31-Jul-20,28,29-Jul-20,91,31-Jul-20,20200731
6-Aug-20,6-Aug-20,17,36,6-Aug-20,65,31-Jul-20,30,5-Aug-20,97,6-Aug-20,20200806
8-Aug-20,8-Aug-20,18,36,6-Aug-20,66,8-Aug-20,30,5-Aug-20,99,8-Aug-20,20200808
10-Aug-20,10-Aug-20,19,36,6-Aug-20,67,10-Aug-20,31,9-Aug-20,101,10-Aug-20,20200810
11-Aug-20,11-Aug-20,20,36,6-Aug-20,68,11-Aug-20,31,9-Aug-20,102,11-Aug-20,20200811
13-Aug-20,13-Aug-20,21,36,6-Aug-20,69,13-Aug-20,32,12-Aug-20,104,13-Aug-20,20200813
14-Aug-20,14-Aug-20,22,36,6-Aug-20,70,14-Aug-20,32,12-Aug-20,105,14-Aug-20,20200814
17-Aug-20,17-Aug-20,23,36,6-Aug-20,71,17-Aug-20,33,16-Aug-20,108,17-Aug-20,20200817
21-Aug-20,21-Aug-20,24,37,21-Aug-20,71,17-Aug-20,34,19-Aug-20,112,21-Aug-20,20200821
23-Aug-20,23-Aug-20,25,37,21-Aug-20,72,23-Aug-20,35,23-Aug-20,114,23-Aug-20,20200823
25-Aug-20,25-Aug-20,26,37,21-Aug-20,73,25-Aug-20,35,23-Aug-20,116,25-Aug-20,20200825
27-Aug-20,27-Aug-20,27,38,27-Aug-20,74,27-Aug-20,36,26-Aug-20,118,27-Aug-20,20200827
31-Aug-20,31-Aug-20,28,38,27-Aug-20,75,31-Aug-20,37,30-Aug-20,122,31-Aug-20,20200831
2-Sep-20,2-Sep-20,29,38,27-Aug-20,76,2-Sep-20,38,2-Sep-20,124,2-Sep-20,20200902
3-Sep-20,3-Sep-20,30,39,3-Sep-20,76,2-Sep-20,38,2-Sep-20,125,3-Sep-20,20200903
6-Sep-20,6-Sep-20,31,39,3-Sep-20,77,6-Sep-20,39,6-Sep-20,128,6-Sep-20,20200906
8-Sep-20,8-Sep-20,32,39,3-Sep-20,78,8-Sep-20,39,6-Sep-20,130,8-Sep-20,20200908
11-Sep-20,11-Sep-20,33,40,11-Sep-20,78,8-Sep-20,40,9-Sep-20,133,11-Sep-20,20200911
12-Sep-20,12-Sep-20,34,40,11-Sep-20,79,12-Sep-20,40,9-Sep-20,134,12-Sep-20,20200912
15-Sep-20,15-Sep-20,35,40,11-Sep-20,80,15-Sep-20,41,13-Sep-20,137,15-Sep-20,20200915
18-Sep-20,18-Sep-20,36,41,18-Sep-20,80,15-Sep-20,42,16-Sep-20,140,18-Sep-20,20200918
19-Sep-20,19-Sep-20,37,41,18-Sep-20,81,19-Sep-20,42,16-Sep-20,141,19-Sep-20,20200919
23-Sep-20,23-Sep-20,38,41,18-Sep-20,82,23-Sep-20,44,23-Sep-20,145,23-Sep-20,20200923
24-Sep-20,24-Sep-20,39,42,24-Sep-20,82,23-Sep-20,44,23-Sep-20,146,24-Sep-20,20200924
25-Sep-20,25-Sep-20,40,42,24-Sep-20,83,25-Sep-20,44,23-Sep-20,147,25-Sep-20,20200925
2-Oct-20,2-Oct-20,41,43,2-Oct-20,83,25-Sep-20,46,30-Sep-20,154,2-Oct-20,20201002
3-Oct-20,3-Oct-20,42,43,2-Oct-20,84,3-Oct-20,46,30-Sep-20,155,3-Oct-20,20201003
6-Oct-20,6-Oct-20,43,43,2-Oct-20,85,6-Oct-20,47,4-Oct-20,158,6-Oct-20,20201006
9-Oct-20,9-Oct-20,44,44,9-Oct-20,85,6-Oct-20,48,7-Oct-20,161,9-Oct-20,20201009
12-Oct-20,12-Oct-20,45,44,9-Oct-20,86,12-Oct-20,49,11-Oct-20,164,12-Oct-20,20201012
15-Oct-20,15-Oct-20,46,45,15-Oct-20,86,12-Oct-20,50,14-Oct-20,167,15-Oct-20,20201015
